Timestamp,Flux
791.63692,0.97473851
791.65735,0.97427909
791.67778,0.97392807
791.69822,0.97339276
791.71865,0.97296178
791.73909,0.97241952
791.75952,0.97202756
791.77995,0.97171704
791.80039,0.97098938
791.82082,0.97069148
791.84125,0.97000518
791.86169,0.9695454
791.90256,0.96838639
791.94342,0.96721754
791.96386,0.96655618
791.98429,0.9659624
792.00472,0.96507687
792.02516,0.96436405
792.04559,0.96368083
792.06603,0.96265115
792.08646,0.96184348
792.10689,0.96110493
792.12733,0.96013138
792.14776,0.95907492
792.16819,0.95806887
792.18863,0.95708258
792.20906,0.95577745
792.2295,0.95476229
792.24993,0.95311347
792.27036,0.95166918
792.2908,0.94993277
792.31123,0.94838476
792.33166,0.94617798
792.3521,0.94438765
792.37253,0.94189539
792.39297,0.93942837
792.4134,0.93663698
792.43383,0.93344163
792.45427,0.93005147
792.4747,0.92635724
792.49513,0.92220004
792.51557,0.91698803
792.536,0.91153998
792.55644,0.90519273
792.57687,0.89758369
792.5973,0.88885177
792.61774,0.87758292
792.63817,0.86559933
792.6586,0.8565087
792.67904,0.85034899
792.69947,0.84654872
792.71991,0.84456044
792.74034,0.84519848
792.78121,0.85337274
792.80164,0.86022237
792.82207,0.86813049
792.84251,0.87700342
792.86294,0.88644489
792.88338,0.89685043
792.90381,0.90822011
792.92424,0.91903152
792.94468,0.92843132
792.96511,0.93659494
792.98554,0.94339446
793.00598,0.94800659
793.02641,0.95170395
793.04685,0.95468566
793.06728,0.95739495
793.08771,0.95976127
793.10815,0.96183671
793.12858,0.96376737
793.14901,0.96548889
793.16945,0.9669815
793.18988,0.96827049
793.21032,0.96949579
793.23075,0.97056567
793.25118,0.97151035
793.27162,0.97254736
793.29205,0.97335903
793.31248,0.97450566
793.33292,0.97523621
793.35335,0.97592687
793.37379,0.97676495
793.39422,0.97736617
793.41465,0.97817144
793.43509,0.97865794
793.45552,0.9793022
793.47595,0.97986299
793.51682,0.98117814
793.53726,0.98156364
793.55769,0.98200249
793.57812,0.98248641
793.59856,0.9831005
793.61899,0.98351948
793.63942,0.98395772
793.65986,0.9844561
793.68029,0.98482466
793.70073,0.98533498
793.72116,0.98573635
793.74159,0.98600355
793.76203,0.98636996
793.78246,0.98666491
793.80289,0.98715116
793.82333,0.98740051
793.84376,0.98777769
793.8642,0.98807523
793.88463,0.98821396
793.90506,0.98868544
793.9255,0.9890926
793.94593,0.98910066
793.96637,0.98954894
793.9868,0.98964699
794.00723,0.99000583
794.02767,0.99017737
794.0481,0.99039686
794.06853,0.99064196
794.08897,0.99087702
794.1094,0.99102708
794.12984,0.99135059
794.15027,0.99146385
794.1707,0.99175523
794.19114,0.99168826
794.21157,0.9918643
794.232,0.99211961
794.25244,0.99212724
794.27287,0.9923932
794.29331,0.99261546
794.31374,0.99274349
794.33417,0.99282258
794.35461,0.99279741
794.37504,0.99316394
794.39547,0.99328028
794.41591,0.99347188
794.43634,0.99353645
794.45678,0.99372135
794.47721,0.99396577
794.49764,0.993894
794.51808,0.99402683
794.53851,0.9941639
794.55894,0.99434
794.57938,0.99468708
794.59981,0.99463261
794.62025,0.99492122
794.64068,0.9948004
794.66111,0.99518294
794.68155,0.99508027
794.70198,0.99523162
794.72241,0.99530622
794.74285,0.99541954
794.76328,0.99553735
794.78372,0.99567701
794.80415,0.99574342
794.82458,0.9959197
794.84502,0.99608841
794.86545,0.9960721
794.88589,0.99611876
794.90632,0.9962943
794.92675,0.9964238
794.94719,0.99646122
794.96762,0.99650905
794.98805,0.99642528
795.00849,0.99663086
795.02892,0.99652518
795.04936,0.99660015
795.06979,0.99663615
795.09022,0.99656642
795.11066,0.99681988
795.13109,0.99648111
795.15152,0.99662766
795.17196,0.99667308
795.19239,0.99668724
795.21283,0.99671845
795.23326,0.99657472
795.25369,0.99675495
795.27413,0.99679108
795.29456,0.9966857
795.31499,0.99669161
795.33543,0.9966636
795.35586,0.99672596
795.3763,0.996885
795.39673,0.99695837
795.41716,0.99699709
795.4376,0.99717478
795.45803,0.99723233
795.47847,0.99729265
795.4989,0.99727382
795.51933,0.99725037
795.53977,0.99741791
795.5602,0.99726391
795.58063,0.99729253
