Time,n_flux
3167.5198915992078,0.9960418
3167.5403239256266,0.9972703
3167.5607563515805,1.0019168
3167.5811885765943,0.9971733
3167.601620901616,1.0006723
3167.6220533261658,0.9979021
3167.6424856497906,0.99817455
3167.683350296109,0.99658036
3167.7037826187952,0.9974389
3167.7242148405567,1.0029764
3167.7446472618467,0.9946039
3167.7650795831432,0.9968352
3167.7855118035077,0.9950959
3167.805944223408,0.9909588
3167.8263765428346,0.9969904
3167.846808761802,0.9905367
3167.867241180298,0.9964963
3167.887673498335,0.9894056
3167.9081057159055,0.99074215
3167.9285381330046,0.9890681
3167.948970449179,0.98201543
3167.969402765353,0.98656195
3167.9898350810545,0.9794227
3168.0102673958318,0.9783334
3168.1737258986614,0.76669365
3168.1941582092477,0.7018798
3168.214590619369,0.63043183
3168.235022829016,0.5573904
3168.25545513774,0.48034748
3168.275887546464,0.42406908
3168.296319754714,0.36246392
3168.3167520625066,0.30746847
3168.337184469834,0.270235
3168.3576166762214,0.2413369
3168.3780489826167,0.22266646
3168.3984813880816,0.21000296
3168.4189135935376,0.21021532
3168.4393458980703,0.21171628
3168.459778302604,0.21687698
3168.480210606198,0.22990297
3168.500642809333,0.23920165
3168.521075212004,0.27526972
3168.5415075146666,0.27521375
3168.5619397164046,0.29551843
3168.5823721176785,0.3225159
3168.6028044184786,0.34591433
3168.623236818821,0.37348315
3168.6436690186965,0.4062747
3168.6641013180997,0.42837784
3168.6845337170453,0.46066177
3168.704965915058,0.49491337
3168.725398213064,0.5259247
3168.7458306106128,0.5551628
3168.766262807694,0.58482575
3168.7866951043034,0.6151345
3168.807127400454,0.6478267
3168.8275596956737,0.67442405
3168.847991990886,0.6974127
3168.868424285174,0.7262743
3168.8888565794623,0.7589531
3168.909288872812,0.7882504
3168.929721165703,0.81551635
3168.9501534581286,0.8486313
3168.970585750547,0.8768937
3168.991018142042,0.90393746
3169.0114503330697,0.9289645
3169.0318826236253,0.94955736
3169.0523150137233,0.9623421
3169.072747203354,0.97885513
3169.0931794925127,0.98336613
3169.1136118812137,0.9907798
3169.1340440694476,0.99029654
3169.154476357209,0.9978387
3169.1749087445132,0.99673796
3169.1953409308844,0.9985863
3169.21577331725,1.0005789
3169.236205603156,0.99984294
3169.256637788596,1.0004613
3169.2770701730988,1.0009718
3169.297502457608,1.0009623
3169.3179347411788,1.0032895
3169.3383670247567,1.0041316
3169.3587993074034,1.0026735
3169.37923159005,1.0019057
3169.399663871758,1.003582
3169.4200961534734,1.0015354
3169.44052843425,1.0054816
3169.4609608145693,1.0110637
3169.481392994421,0.99767804
